醫事機構代碼,機構服務項目代碼
3537221189,Y
3537221189,Z
3537221232,A
3537221232,E
3537221232,Y
3537221232,Z
3537221278,A
3537221278,Z
3537230035,A
3537230035,D
3537230035,E
3537230035,Z
3537231210,A
3537231210,E
3537231210,F
3537231210,G
3537240031,A
3537240031,D
3537240031,E
3537240031,F
3537240031,Y
3537240031,Z
3537250055,A
3537250055,D
3537250055,E
3537250055,Y
3537250055,Z
3537250064,A
3537250064,D
3537250064,E
3537250064,F
3537250064,G
3537250064,Y
3537250064,Z
3537251105,A
3537251105,E
3537251105,Y
3537251105,Z
3537251123,A
3537251123,E
3537251123,Z
3537260122,A
3537260122,E
3537261183,A
3537261183,E
3537261183,Y
3537261183,Z
3537261192,A
3537261218,A
3537261218,D
3537261218,E
3537261218,F
3537261218,Y
3537261218,Z
3538010019,A
3538010037,A
3538010055,A
3538010091,A
3538010091,E
3538010144,A
3538010144,D
3538010144,E
3538010144,F
3538010171,A
3538010171,D
3538010171,E
3538010180,A
3538010180,D
3538010180,E
3538010180,Y
3538010199,A
3538010199,D
3538010199,E
3538010199,Z
3538010215,A
3538010251,A
3538010288,A
3538010304,A
3538010304,D
3538010304,E
3538010304,Y
3538010304,Z
3538010322,A
3538010322,E
3538010322,Y
3538010322,Y
3538010322,Z
3538010340,A
3538010420,A
3538010420,D
3538010420,E
3538010420,Z
3538010439,A
3538010439,D
3538010466,A
3538010475,A
3538010475,E
3538010484,A
3538010484,D
3538010484,E
3538010528,A
3538010528,E
3538010528,Z
3538010537,A
3538010537,E
3538010546,A
3538010555,A
3538010555,E
3538010555,Z
3538010573,A
3538010573,C
3538010573,E
3538010582,A
3538010582,E
3538010644,A
3538010662,A
3538010662,D
3538010662,E
3538010662,F
3538011678,A
3538011678,Y
3538011712,A
3538011712,D
3538011712,E
3538011712,F
3538011712,G
3538011712,I
3538011712,Z
3538011758,A
3538011758,D
3538011758,E
3538011758,Y
3538011758,Z
3538011776,A
3538011776,D
3538011776,E
3538011801,A
3538011810,A
3538011810,Y
3538011847,A
3538011865,A
3538011883,A
3538011883,D
3538011883,E
3538011918,A
3538011918,E
3538011918,W
3538011981,A
3538011981,E
3538012022,A
3538012022,D
3538012022,E
3538012040,A
3538012059,A
3538012059,E
3538012068,A
3538012068,D
3538012068,E
3538012068,Y
3538012068,Z
3538012077,A
3538012086,A
3538012086,D
3538012095,A
3538012095,D
3538012166,A
3538012166,E
3538012166,Z
3538012175,A
3538012184,A
3538012184,E
3538012184,Z
3538012193,A
3538012193,E
3538012193,Y
3538012200,A
3538012200,C
3538012219,1
3538012219,2
3538012219,A
3538020042,A
3538020042,D
3538020168,A
3538020168,D
3538020168,E
3538020168,Y
3538020168,Z
3538020177,A
3538020177,D
3538020293,A
3538020293,A0
3538020293,F
3538020293,G
3538020319,A
3538020319,E
3538020382,A
3538020382,E
3538020435,A
3538020435,A0
3538020435,E
3538020435,F
3538020435,G
3538020435,I
3538020480,A
3538020480,D
3538020480,E
3538020506,A
3538020506,E
3538020506,Z
3538020524,A
3538020524,D
3538020524,E
3538020588,A
3538020588,E
3538020604,A
3538020604,D
3538020604,E
3538020604,Y
3538020613,A
3538020613,D
3538020613,E
3538020613,Y
3538020613,Z
3538021674,1
3538021674,2
3538021674,A
3538022171,A
3538022171,D
3538022171,E
3538022199,A
3538022215,A
3538022233,A
3538022233,E
3538022233,Y
3538022233,Z
3538022242,A
3538022242,E
3538022242,Z
3538022251,A
3538022251,E
3538022251,F
3538022251,G
3538022260,A
3538022260,D
3538022260,E
3538022260,F
3538022260,Y
3538022260,Z
3538022322,A
3538022331,A
3538022331,D
3538022331,E
3538022331,Z
3538022340,1
3538022340,2
3538022340,A
3538022359,A
3538022386,A
3538022386,E
3538022386,Z
3538022395,A
3538022395,E
3538022395,Y
3538022395,Z
3538022411,A
3538022411,E
3538022485,A
3538022485,C
3538022485,E
3538022485,W
3538022493,Y
3538022537,A
3538022537,D
3538022537,E
3538022537,F
3538022537,Y
3538022537,Z
3538022564,A
3538022564,D
3538022564,E
3538022608,A
3538022608,E
3538022635,A
3538022653,A
3538022653,E
3538022653,Z
3538022662,A
3538022662,D
3538022662,E
3538022662,Y
3538022662,Z
3538022715,A
3538022715,E
3538022715,Z
3538022742,A
3538022751,A
3538022751,D
3538022751,E
3538022751,F
3538022751,Z
3538022760,A
3538022760,E
3538022760,F
3538022760,Y
3538022760,Z
3538022779,A
3538022779,E
3538022779,Z
3538022788,A
3538022788,E
3538022797,A
3538022797,D
3538030048,A
3538030048,E
3538030048,Y
3538030048,Z
3538030066,A
3538030244,A
3538030360,A
3538030360,D
3538030360,E
3538030360,Z
3538030422,A
3538030422,D
3538030422,Y
3538030440,A
3538030440,D
3538030440,E
3538030440,Y
3538030440,Z
3538030459,A
3538030468,A
3538030468,E
3538030468,Z
3538030477,A
3538030520,A
3538030520,E
3538030520,Z
3538030593,A
3538030593,A0
3538030593,D
3538030593,E
3538030593,F
3538030593,G
3538030593,Z
3538030600,A
3538030771,A
3538030771,D
3538030771,E
3538030815,A
3538030851,A
3538030851,D
3538030851,E
3538030851,Y
3538030851,Z
3538030860,A
3538030860,E
3538030904,1
3538030904,2
3538030904,A
3538030922,A
3538030922,D
3538030968,A
3538030968,D
3538030968,E
3538030968,Y
3538030968,Z
3538030995,A
3538031081,A
3538031081,D
3538031081,E
3538031081,Z
3538031107,A
3538031107,C
3538031107,E
3538031107,Z
3538032739,A
3538032739,E
3538032739,Y
3538032739,Z
3538032748,1
3538032748,A
3538032748,E
3538032748,Z
3538032793,A
3538032793,D
3538032793,E
3538032793,Y
3538032793,Z
3538032800,1
3538032800,A
3538032800,E
3538032837,A
3538032837,D
3538032837,E
3538032855,1
3538032855,A
3538032855,E
3538032926,A
3538032926,E
3538032926,Y
3538032926,Z
3538032935,A
3538032935,E
3538032953,1
3538032953,A
3538032953,E
3538032962,A
3538032962,D
3538032962,E
3538032971,1
3538032971,2
3538032971,7
3538032971,A
3538032971,E
3538032971,Z
3538033003,A
3538033003,E
3538033012,A
3538033012,D
3538033012,E
3538033012,Z
3538033021,A
3538033030,A
3538033030,Y
3538033049,A
3538033049,E
3538033049,F
3538033049,G
3538033058,A
3538033067,A
3538033094,A
3538033094,Y
3538033101,A
3538033101,E
3538033101,F
3538033101,G
3538033101,Y
3538033101,Z
3538033110,A
3538033165,A
3538033165,E
3538033165,Y
3538033165,Z
3538033218,1
3538033218,2
3538033218,7
3538033218,A
3538033227,A
3538033227,C
3538033236,A
3538033245,A
3538033245,D
3538033245,E
3538033245,Z
3538040017,A
3538040017,D
3538040017,E
3538040017,F
3538040017,G
3538040017,I
3538040035,A
3538040035,D
3538040035,E
3538040035,F
3538040035,G
3538040071,A
3538040071,D
3538040071,E
3538040080,A
3538040124,A
3538040124,E
3538040179,A
3538040197,A
3538040197,D
3538040197,E
3538040197,F
3538040197,G
3538040197,I
3538040197,Y
3538040277,A
3538040277,E
3538040277,Z
3538040311,A
3538040311,D
3538040311,E
3538040311,F
3538040311,G
3538040311,Z
3538040339,A
3538040357,A
3538040357,D
3538040357,E
3538040366,A
3538040366,Y
3538041407,A
3538041416,A
3538041434,A
3538041434,E
3538041434,Z
3538041443,A
3538041443,D
3538041443,E
3538041443,Z
3538041505,A
3538041523,A
3538041523,C
3538041523,E
3538041550,A
3538041550,E
3538041550,Z
3538041578,A
3538041578,Y
3538041612,A
3538041612,C
3538041612,E
3538041612,Z
3538041630,A
3538041630,C
3538041630,E
3538041649,A
3538041649,Y
3538041658,A
3538041658,E
3538041658,Z
3538051154,A
3538051154,E
3538051172,A
3538051172,E
3538060117,A
3538060117,D
3538060117,E
3538060117,Y
3538060117,Z
3538060126,A
3538061276,A
3538061276,E
3538061294,A
3538061329,A
3538061329,E
3538061329,Z
3538061338,A
3538061338,D
3538061347,A
3538061347,E
3538061347,Z
3538061365,A
3538061365,E
3538061365,Z
3538061383,A
3538061383,E
3538061383,Z
3538061409,A
3538070033,A
3538070060,A
3538070060,E
3538070060,Z
3538071101,A
3538080155,A
3538080155,D
3538080155,E
3538080155,Y
3538081287,A
3538081287,E
3538081287,Y
3538081287,Z
3538081321,A
3538081321,E
3538090071,A
3538090071,E
3538090071,Y
3538091096,A
3538091096,D
3538091096,E
3538091103,A
3538091103,E
3538091103,Y
3538091103,Z
3538101355,Z
3538101382,A
3538101382,D
3538101382,E
3538101382,Z
3538101408,A
3538101408,E
3538101408,Y
3538101408,Z
3538101417,A
3538101417,E
3538101417,F
3538101417,Y
3538101417,Z
3538110032,A
3538110032,D
3538110032,E
3538110121,A
3538111422,A
3538111422,D
3538111422,E
3538111422,F
3538111468,A
3538111468,D
3538111468,E
3538111566,A
3538111566,D
3538111566,E
3538111566,F
3538111566,Y
3538111566,Z
3538111600,A
3538111600,E
3538111600,Z
3538111619,1
3538111619,2
3538111619,A
3538111619,C
3538111619,D
3538111619,E
3538111619,F
3538111619,Y
3538111619,Z
3538121179,A
3538121179,D
3538121179,E
3538121179,F
3538121179,Z
3538121188,A
3538121188,E
3538121197,A
3538121259,A
3538121259,D
3538121259,E
3538121259,F
3538121259,Z
3538121375,A
3538121375,D
3538121375,E
3538121375,Z
3538131059,A
3538131059,D
3538131059,E
3538131059,Z
3538131095,A
3538131095,D
3538131095,E
3538131095,F
3538131095,Y
3538131139,A
3538131139,E
3538131139,Z
3538131157,A
3538131157,E
3538131157,Y
3538131157,Z
3539010120,A
3539010193,A
3539010246,A
3539010246,A0
3539010246,F
3539010246,G
3539010317,A
3539010326,A
3539010326,D
3539010326,E
3539010326,Y
3539010326,Z
3539010353,A
3539010353,E
3539010424,A
3539010424,E
3539010424,Y
3539010504,A
3539010504,E
3539010531,A
3539010559,A
3539010577,A
3539010577,E
3539010586,A
3539010602,A
3539010611,A
3539010620,A
3539010666,A
3539010746,A
3539010746,D
3539010746,E
3539010746,G
3539010773,A
3539010791,A
3539010791,D
3539010791,E
3539010791,Z
3539010924,A
3539010924,E
3539010924,F
3539010924,G
3539010988,A
3539011029,1
3539011029,2
3539011029,A
3539011109,A
3539011109,D
3539011118,A
3539011118,D
3539011136,A
3539011163,A
3539011163,E
3539011163,F
3539011163,G
3539011163,Z
3539011216,A
3539012259,A
3539012259,E
3539012295,A
3539012428,A
3539012428,E
3539012428,F
3539012428,G
3539012428,I
3539012428,Z
3539012446,A
3539012455,A
3539012455,D
3539012455,E
3539012464,A
3539012464,D
3539012464,E
3539012482,A
3539012526,A
3539012526,D
3539012526,E
3539012535,A
3539012535,D
3539012544,A
3539012544,C
3539012544,E
3539012562,A
3539012562,E
3539012562,F
3539012562,G
3539012562,Z
3539012580,A
3539012660,A
3539012660,D
3539012660,E
3539012660,Y
3539012660,Z
3539012679,A
3539012697,A
3539012697,E
3539012697,Y
3539012697,Z
3539012740,A
3539012795,1
3539012795,A
3539012811,A
3539012811,E
3539012811,Z
3539012827,A
3539012827,A0
3539012827,E
3539012827,F
3539012827,G
3539012827,Z
3539012848,A
3539012848,C
3539012848,E
3539012848,W
3539012875,A
3539012884,A
3539012893,A
3539012900,A
3539012919,1
3539012919,A
3539012946,A
3539012955,A
3539012964,A
3539012964,E
3539012964,Y
3539012964,Z
3539012973,A
3539012973,D
3539012973,E
3539012973,F
3539012973,Y
3539012973,Z
3539012982,A
3539012982,E
3539012982,Z
3539013014,A
3539013014,D
3539013014,E
3539013014,Z
3539013032,A
3539013032,C
3539013032,E
3539013032,Z
3539013041,A
3539013041,D
3539013041,E
3539013041,Y
3539013041,Z
3539013050,A
3539013050,Y
3539013069,1
3539013069,2
3539013069,7
3539013069,A
3539020037,A
3539020037,E
3539020046,A
3539020046,E
3539020091,A
3539020091,E
3539020091,Z
3539020117,A
3539020117,D
3539020117,E
3539020117,Z
3539020180,A
3539020180,D
3539020180,E
3539020180,Z
3539020206,0
3539020206,1
3539020206,A
3539020206,E
3539020206,Y
3539020206,Z
3539020242,A
3539020242,D
3539020242,E
3539020242,Y
3539020242,Z
3539020313,A
3539020313,D
3539020313,E
3539020313,F
3539020313,Z
3539020368,A
3539020368,E
3539020368,Y
3539020395,A
3539020395,D
3539020395,E
3539020395,Z
3539020420,A
3539021454,A
3539021454,A0
3539021454,E
3539021454,F
3539021454,G
3539021454,Y
3539021463,A
3539021463,D
3539021463,E
3539021463,Z
3539021543,A
3539021543,D
3539021543,E
3539021552,A
3539021552,D
3539021552,E
3539021552,F
3539021552,G
3539021570,A
3539021570,E
3539021570,Y
3539021570,Z
3539021598,A
3539021598,D
3539021598,E
3539021614,1
3539021614,2
3539021614,7
3539021614,A
3539021614,E
3539021614,Z
3539021623,A
3539021623,D
3539021623,E
3539021623,F
3539021623,Y
3539021623,Z
3539021632,A
3539021632,C
3539021641,A
3539021641,E
3539021641,Z
3539030060,A
3539030060,E
3539030060,Z
3539030177,Z
3539030275,A
3539030275,D
3539030275,E
3539030319,A
3539030337,A
3539030355,A
3539030355,D
3539030355,E
3539030408,A
3539030408,E
3539030462,A
3539030462,D
3539030542,A
3539030542,D
3539030542,E
3539030542,Z
3539030579,A
3539030588,A
3539030588,D
3539030588,E
3539030659,A
3539030659,E
3539030711,A
3539030711,E
3539030711,F
3539030711,G
3539030711,I
3539031772,A
3539031772,D
3539031772,E
3539031790,A
3539031790,D
3539031825,A
3539031825,D
3539031852,A
3539031852,D
3539031852,E
3539031852,Z
3539031861,1
3539031861,2
3539031861,A
3539031870,A
3539031870,E
3539031870,Y
3539031870,Z
3539031905,A
3539031905,A0
3539031905,D
3539031905,E
3539031905,F
3539031905,G
3539031905,I
3539031914,A
3539031950,A
3539031978,A
3539031978,E
3539031978,F
3539031978,G
3539032000,A
3539032037,A
3539032037,E
3539032046,A
3539032046,C
3539032046,E
3539032046,Z
3539032064,A
3539032064,E
3539032073,A
3539032073,D
3539032091,A
3539032091,D
3539032091,E
3539032091,F
3539032091,G
3539032091,I
3539032117,A
3539032117,D
3539032126,A
3539032126,D
3539032135,A
3539032180,A
3539032180,E
3539032180,Z
3539032206,A
3539032206,E
3539032206,Z
3539032224,A
3539032224,E
3539032224,Y
3539032233,A
3539032233,E
3539032233,Y
3539032233,Z
3539032260,A
3539032297,A
3539032297,E
3539032297,Y
3539032297,Z
3539032304,1
3539032304,A
3539032313,A
3539032313,E
3539032313,Z
3539032322,E
3539032331,A
3539032331,E
3539032331,Y
3539032331,Z
3539032340,A
3539032340,C
3539032340,E
3539032340,W
3539032359,A
3539032359,E
3539032359,Z
3539032368,A
3539032377,1
3539032377,A
3539032402,A
3539032402,E
3539032411,A
3539032411,E
3539032411,Z
3539040048,A
3539040100,A
3539040119,A
3539040119,E
3539040119,Z
3539040146,A
3539040146,D
3539040146,E
3539040146,G
3539040146,Y
3539040146,Z
3539040173,A
3539040173,D
3539040208,A
3539040208,E
3539040217,A
3539040217,E
3539040217,Y
3539040226,A
3539040315,A
3539040315,E
3539040315,Y
3539041330,A
3539041330,E
3539041330,Z
3539041349,A
3539041349,E
3539041394,A
3539041394,E
3539041394,Y
3539041394,Z
3539041438,A
3539041492,A
3539041492,E
3539041509,A
3539041509,E
3539041518,1
3539041518,2
3539041518,A
3539041527,A
3539041536,A
3539041536,E
3539041536,Z
3539041545,0
3539041545,A
3539041545,E
3539041545,Y
3539041545,Z
3539041563,A
3539041563,E
3539041563,Y
3539041572,A
3539041572,A0
3539041572,C
3539041572,E
3539041572,F
3539041572,W
3539041581,A
3539041581,D
3539041590,A
3539041590,D
3539041590,E
3539041590,F
3539041590,Y
3539041590,Z
3539041607,A
3539041607,E
3539051363,A
3539051363,E
3539051363,Y
3539051363,Z
3539051381,A
3539051381,E
3539051381,Y
3539051381,Z
3539051390,A
3539051390,D
3539051390,E
3539051390,Y
3539051390,Z
3539060040,A
3539060086,A
3539060086,D
3539060086,E
3539060120,1
3539060120,A
3539060120,E
3539060148,A
3539060166,A
3539060166,D
3539060166,E
3539060166,Z
3539060184,A
3539060184,E
3539060308,A
3539060308,A0
3539060308,E
3539060308,F
3539060308,G
3539060326,A
3539060326,Y
3539060415,A
3539060415,D
3539060415,E
3539060460,A
3539060460,E
3539060559,A
3539060559,D
3539060568,A
3539060568,E
3539060568,Y
3539060568,Z
3539060595,A
3539060595,E
3539060595,Y
3539060595,Z
3539061654,A
3539061654,C
3539061654,E
3539061654,W
3539061654,Z
3539061681,A
3539061716,A
3539061734,1
3539061734,A
3539061734,D
3539061734,E
3539061734,F
3539061734,Z
3539061752,A
3539061789,A
3539061789,D
3539061789,E
3539061798,A
3539061798,D
3539061798,E
3539061850,A
3539061850,E
3539061850,F
3539061850,G
3539061850,Y
3539061850,Z
3539061869,A
3539061869,E
3539061869,Z
3539061878,1
3539061878,2
3539061878,A
3539061878,E
3539061878,Y
3539061878,Z
3539070064,A
3539070064,D
3539070064,E
3539070064,Y
3539070064,Z
3539070117,A
3539070117,E
3539070117,Z
3539070171,A
3539070171,D
3539070171,E
3539070171,Z
3539071285,A
3539071310,A
3539071310,D
3539071310,E
3539080051,A
3539080051,D
3539080051,E
3539080051,F
3539080051,Y
3539081110,A
3539090093,A
3539090128,A
3539090128,E
3539090137,A
3539090137,D
3539090137,E
3539090137,Y
3539090137,Z
3539090146,A
3539090164,A
3539090164,E
3539090164,Z
3539090226,A
3539090226,G
3539091296,A
3539091296,E
3539091296,Z
3539091321,A
3539091321,D
3539091321,E
3539091321,Y
3539091321,Z
3539100058,A
3539100058,E
3539100076,A
3539100076,E
3539100076,F
3539100076,G
3539100076,Y
3539100076,Z
3539100094,A
3539100094,D
3539100094,E
3539100094,F
3539101117,A
3539101117,Z
3539111364,A
3539111364,D
3539111364,E
3539111364,F
3539111417,Y
3539111426,A
3539111426,D
3539111426,E
3539111426,Y
3539111426,Z
3539111444,A
3539111444,E
3539111444,Z
3539120050,A
3539120050,E
3539120167,A
3539120167,E
3539120201,A
3539120201,D
3539120201,E
3539120201,F
3539120201,G
3539120201,Y
3539120201,Z
3539120238,A
3539120238,D
3539120238,E
3539121360,A
3539121404,A
3539121404,C
3539121404,E
3539121404,W
3539121404,Z
3539121422,A
3539121422,D
3539121422,E
3539121422,Y
3539121422,Z
3539121440,A
3539121459,A
3539121459,E
3539121459,F
3539121459,G
3539121459,Y
3539121459,Z
3539130305,A
3539130305,E
3539130305,Y
3539130305,Z
3539131697,A
3539131697,D
3539131697,E
3539131704,A
3539131704,E
3539131704,Y
3539131704,Z
3539131795,A
3539131795,C
3539131795,E
3539131795,W
3539131795,Z
3539131811,A
3539131811,D
3539131811,E
3539131811,Y
3539131811,Z
3539131866,A
3539131866,E
3539131866,Y
3539131866,Z
3539131893,A
3539131893,D
3539131893,E
3539131919,A
3539131919,E
3539131928,A
3539131937,1
3539131937,2
3539131937,7
3539131937,A
3539140187,A
3539140187,D
3539140187,E
3539140187,F
3539140187,Y
3539140187,Z
3539141282,A
3539141282,D
3539141282,E
3539141282,Z
3539141326,Z
3539141335,A
3539141335,D
3539141335,E
3539141335,Y
3539141335,Z
3539141353,A
3539141353,E
3539141353,Z
3539150110,A
3539150110,D
3539150110,E
3539150110,F
3539150110,Y
3539150110,Z
3539151224,A
3539151224,E
3539151224,Y
3539151224,Z
3539151279,1
3539151279,A
3539160385,A
3539160385,D
3539160385,E
3539160385,F
3539160385,G
3539160385,Y
3539160385,Z
3539161622,A
3539161622,D
3539161622,E
3539161622,F
3539161622,G
3539161622,Y
3539161622,Z
3539161668,A
3539161668,E
3539161668,F
3539161668,Y
3539161668,Z
3539161677,A
3539161677,E
3539161677,Z
3539161702,Y
3539161702,Z
3539161720,A
3539161720,E
3539161720,Z
3539161766,A
3539161766,E
3539161766,Y
3539161775,1
3539161775,A
3539170210,A
3539170210,D
3539170210,E
3539170210,Z
3539170238,0
3539170238,A
3539170238,Z
3539170274,A
3539170274,D
3539170274,E
3539170274,Z
3539171351,A
3539171351,E
3539171351,Z
3539181553,A
3539181562,A
3539181562,E
3539181562,Y
3539181562,Z
3539181795,Z
3539181802,A
3539181802,E
3539181802,Y
3539181802,Z
3539181839,1
3539181839,A
3539181839,E
3539181839,Z
3539181866,A
3539181866,D
3539181866,E
3539181866,Z
3539181893,A
3539181893,E
3539181893,Z
3539190356,A
3539190356,E
3539190356,Y
3539190356,Z
3539190427,A
3539190427,D
3539190427,E
3539190427,F
3539190427,G
3539190427,Y
3539190427,Z
3539190472,A
3539190472,E
3539190472,Y
3539190472,Z
3539191808,A
3539191862,A
3539191862,E
3539191862,Z
3539192118,1
3539192118,A
3539192127,A
3539192127,E
3539200179,A
3539200179,E
3539200179,Y
3539200179,Z
3539201229,A
3539201229,D
3539201229,E
3539201229,F
3539201229,Y
3539201229,Z
3539201238,A
3539201292,A
3539201292,E
3539201292,Z
3540010074,A
3540010074,E
3540010118,A
3540010118,D
3540010118,E
3540010127,A
3540010136,A
3540010136,D
3540010136,E
3540010136,F
3540010136,G
3540010136,Z
3540010243,A
3540010243,Y
3540010252,A
3540010252,E
3540010261,A
3540010270,A
3540010270,C
3540010270,D
3540010270,E
3540010289,A
3540010289,D
3540010289,E
3540010289,F
3540010289,G
3540010289,Z
3540010332,A
3540010332,D
3540010332,E
3540010332,F
3540010332,Y
3540010332,Z
3540010369,A
3540010369,E
3540010396,A
3540010396,Y
3540011437,A
3540011464,A
3540011473,A
3540011535,1
3540011535,A
3540011535,Z
3540011599,1
3540011599,A
3540011599,E
3540011599,Y
3540011599,Z
3540011624,A
3540011633,A
3540011633,D
3540011633,E
3540011633,F
3540011633,G
3540011679,A
3540011697,A
3540011697,E
3540011697,Z
3540011704,A
3540011713,A
3540011713,E
3540011713,F
3540011713,G
3540011768,A
3540011768,E
3540011777,A
3540020025,A
3540020025,D
3540020025,E
3540020061,A
3540020061,D
3540020061,E
3540020061,F
3540020061,G
3540020132,A
3540020132,E
3540020132,Y
3540020132,Z
3540021273,A
3540021273,D
3540021273,E
3540021273,F
3540021273,Y
3540021273,Z
3540021344,A
3540021344,E
3540021353,A
3540021353,D
3540021353,E
3540021353,Y
3540021353,Z
3540021362,A
3540030094,A
3540030110,A
3540030110,E
3540030110,F
3540030110,G
3540030110,Y
3540030110,Z
3540030236,A
3540030236,Z
3540031260,A
3540031260,E
3540031260,Y
3540031279,Z
3540031297,A
3540031313,A
3540031313,D
3540031313,E
3540031313,Z
3540031338,A
3540031340,A
3540031340,D
3540031340,E
3540031359,A
3540031359,D
3540031359,E
3540031359,F
3540031359,Z
3540031368,A
3540031377,A
3540031377,E
3540031386,A
3540040036,A
3540040036,D
3540040036,E
3540040036,Y
3540040036,Z
3540040143,1
3540040143,A
3540040143,D
3540040143,E
3540040143,G
3540040143,Z
3540040161,A
3540040161,D
3540040161,E
3540040161,Z
3540040189,A
3540040189,D
3540040189,E
3540040205,A
3540040205,D
3540040205,E
3540040205,Z
3540040287,A
3540040303,A
3540040321,A
3540040376,A
3540040376,E
3540040401,A
3540041480,A
3540041480,E
3540041480,Z
3540041524,A
3540041524,E
3540041524,F
3540041524,G
3540041524,Z
3540041542,A
3540041542,Z
3540041560,A
3540041579,1
3540041579,A
3540041579,E
3540041579,Z
3540041640,A
3540041659,A
3540041659,E
3540041659,F
3540041659,G
3540041659,Z
3540041668,A
3540041668,E
3540041668,Y
3540041668,Z
3540041677,A
3540041686,A
3540041686,D
3540041686,E
3540041686,F
3540041686,Z
3540041695,A
3540041695,E
3540041711,Z
3540041720,A
3540041720,D
3540041720,E
3540041748,A
3540041748,E
3540041766,A
3540041766,E
3540041766,Y
3540041775,A
3540041775,D
3540041775,E
3540041784,A
3540041784,C
3540041784,E
3540041800,A
3540041800,E
3540041800,Y
3540041800,Z
3540041819,A
3540041837,A
3540041855,1
3540041855,2
3540041855,7
3540041855,A
3540041855,C
3540041855,E
3540041864,A
3540041864,C
3540041864,E
3540050050,0
3540050050,A
3540050050,E
3540050050,Y
3540050050,Z
3540050078,A
3540050078,D
3540050078,E
3540050078,F
3540051119,A
3540051119,E
3540060074,A
3540060074,E
3540060172,A
3540060172,E
3540060172,Y
3540060172,Z
3540060190,1
3540060190,A
3540060190,E
3540060190,Z
3540060207,A
3540060207,D
3540060207,E
3540061240,A
3540061240,D
3540061240,E
3540061259,A
3540061277,A
3540061277,C
3540061277,E
3540061286,A
3540061286,E
3540061286,Y
3540061286,Z
3540061295,A
3540061295,E
3540061295,Y
3540061295,Z
3540061320,0
3540061320,A
3540061320,E
3540061320,Y
3540061320,Z
3540061339,A
3540061339,D
3540061339,E
3540061339,Z
3540070043,A
3540070043,E
3540070114,A
3540081064,A
3540081064,E
3540081064,Y
3540081064,Z
3540081073,A
3540081091,Z
3540081135,A
3540081135,E
3540081135,Z
3540090081,A
3540090081,E
3540090081,Z
3540091159,A
3540091159,A0
3540091159,E
3540091159,F
3540091159,G
3540091159,Z
3540091168,A
3540091168,E
3540091168,Z
3540091202,A
3540091202,D
3540091202,E
3540091202,Y
3540091202,Z
3540100019,A
3540100019,E
3540100055,A
3540100055,E
3540100055,Z
3540100064,A
3540110033,A
3540110033,D
3540110033,E
3540110042,A
3540110042,E
3540110104,A
3540110104,D
3540110104,E
3540110104,Z
3540111138,A
3540111138,E
3540111138,F
3540111138,G
3540111138,Y
3540111138,Z
3540111147,A
3540111147,E
3540111263,A
3540111263,E
3540111263,Y
3540111263,Z
3540111290,A
3540111290,E
3540111307,A
3540111307,E
3540111316,A
3540111325,A
3540111325,D
3540111325,E
3540111325,Y
3540111325,Z
3540111343,1
3540111343,2
3540111343,A
3540111343,E
3540111352,A
3540111352,E
3540111352,Y
3540111352,Z
3540111361,A
3540111361,E
3540111361,Z
3540120119,A
3540120119,D
3540120119,E
3540120155,A
3540120155,E
3540120155,Y
3540120155,Z
3540120191,A
3540120191,Z
3540120217,1
3540120217,A
3540120217,E
3540121269,A
3540121269,D
3540121269,E
3540121269,F
3540121269,G
3540121269,Z
3540121278,A
3540121278,D
3540121278,E
3540121303,A
3540121303,D
3540121303,E
3540121312,A
3540121312,D
3540121312,E
3540121312,Z
3540121321,A
3540121321,C
3540121321,E
3540121330,A
3540121330,E
3540121349,A
3540121349,D
3540121349,E
3540121349,Z
3540130259,A
3540130259,E
3540130259,Z
3540130277,A
3540130277,D
3540130277,E
3540130277,F
3540130277,G
3540130295,A
3540130295,D
3540130295,E
3540130295,Z
3540131327,A
3540131327,E
3540131327,Y
3540131327,Z
3540131390,A
3540131390,D
3540131390,E
3540131407,A
3540131407,D
3540131407,E
3540131407,Z
3540131498,A
3540131498,D
3540131498,E
3540131505,A
3540131541,A
3540131541,D
3540131541,E
3540131541,Y
3540131550,A
3540131550,E
3540131569,A
3540140022,A
3540140022,E
3540140120,A
3540140120,E
3540140120,Z
3540140139,A
3540140139,D
3540140139,E
3540140166,A
3540141181,A
3540141181,E
3540141190,A
3540141207,A
3540141207,E
3540141207,F
3540141207,G
3540141207,Y
3540141216,A
3540141216,D
3540141216,E
3540141225,A
3540141225,D
3540141225,E
3540141243,A
3540141243,C
3540141243,E
3540141252,0
3540141252,A
3540141252,E
3540141252,Z
3540150028,A
3540150028,D
3540150028,E
3540150028,Z
3540150037,A
3540150037,E
3540150037,Z
3540151123,A
3540151196,A
3540151196,E
3540151196,F
3540151196,Y
3540161067,A
3540161067,D
3540161067,E
3540161067,F
3540161067,Y
3540181050,A
3540181050,E
3540181050,Y
3541010032,A
3541010032,D
3541010032,E
3541010032,Z
3541010050,A
3541010050,E
3541010050,Y
3541010078,A
3541010078,Z
3541010096,A
3541010096,D
3541010096,E
3541010096,Y
3541010096,Z
3541010103,A
3541010103,E
3541010103,Z
3541010121,A
3541010158,A
3541010194,A
3541010194,D
3541010194,E
3541010194,Y
3541010194,Z
3541010247,A
3541010247,E
3541010247,Y
3541010247,Z
3541010309,A
3541010318,A
3541010318,D
3541010318,E
3541010318,Z
3541010327,A
3541010327,D
3541010327,E
3541010327,F
